"","lineage","i","k","j","min.sts","max.sts","length","lengthdays","c(NA, tmrca_all$size)","size","size_cat"
"15233","B.1.1",9,6,12,2020.3306010929,2020.45628415301,0.125683060109395,46.0000000000387,4,4,"3-5"
"15234","B.1.1",9,6,13,2020.45628415301,2020.59016393443,0.133879781420774,49.0000000000032,6,6,"6-10"
"15235","B.1.1",9,6,14,2020.34426229508,2020.44535519126,0.101092896174805,36.9999999999786,2,2,"2"
"15236","B.1.1",9,6,15,2020.32513661202,2020.45355191257,0.128415300546521,47.0000000000268,6,6,"6-10"
"15237","B.1.1",9,6,16,2020.5,2020.51639344262,0.0163934426229844,6.00000000001228,3,3,"3-5"
"15238","B.1.1",9,7,1,2020.26775956284,2020.60655737705,0.338797814207737,124.000000000032,952,952,"20+"
"15239","B.1.1",9,7,2,2020.35792349727,2020.48087431694,0.122950819672042,44.9999999999673,12,12,"11-20"
"15240","B.1.1",9,7,3,2020.29508196721,2020.43715846995,0.14207650273238,52.0000000000509,3,3,"3-5"
"15241","B.1.1",9,7,4,2020.41256830601,2020.67213114754,0.259562841530169,95.0000000000418,28,28,"20+"
"15242","B.1.1",9,7,5,2020.5,2020.50819672131,0.0081967213113785,2.99999999996453,2,2,"2"
"15243","B.1.1",9,7,6,2020.36885245902,2020.60928961749,0.240437158470058,88.0000000000414,85,85,"20+"
"15244","B.1.1",9,7,7,2020.58196721311,2020.60382513661,0.0218579234972367,7.99999999998863,5,5,"3-5"
"15245","B.1.1",9,7,8,2020.53825136612,2020.53825136612,0,0,2,2,"2"
"15246","B.1.1",9,7,9,2020.28142076503,2020.31693989071,0.0355191256828675,12.9999999999295,3,3,"3-5"
"15247","B.1.1",9,7,10,2020.20765027322,2020.49180327869,0.284153005464532,104.000000000019,14,14,"11-20"
"15248","B.1.1",9,7,11,2020.42896174863,2020.51366120219,0.084699453552048,31.0000000000496,9,9,"6-10"
"15249","B.1.1",9,7,12,2020.3306010929,2020.45628415301,0.125683060109395,46.0000000000387,4,4,"3-5"
"15250","B.1.1",9,7,13,2020.45628415301,2020.59016393443,0.133879781420774,49.0000000000032,6,6,"6-10"
"15251","B.1.1",9,7,14,2020.34426229508,2020.44535519126,0.101092896174805,36.9999999999786,2,2,"2"
"15252","B.1.1",9,7,15,2020.32513661202,2020.45355191257,0.128415300546521,47.0000000000268,6,6,"6-10"
"15253","B.1.1",9,7,16,2020.5,2020.51639344262,0.0163934426229844,6.00000000001228,3,3,"3-5"
"15254","B.1.1",9,8,1,2020.26775956284,2020.60655737705,0.338797814207737,124.000000000032,952,952,"20+"
"15255","B.1.1",9,8,2,2020.35792349727,2020.48087431694,0.122950819672042,44.9999999999673,12,12,"11-20"
"15256","B.1.1",9,8,3,2020.29508196721,2020.43715846995,0.14207650273238,52.0000000000509,3,3,"3-5"
"15257","B.1.1",9,8,4,2020.41256830601,2020.67213114754,0.259562841530169,95.0000000000418,28,28,"20+"
"15258","B.1.1",9,8,5,2020.5,2020.50819672131,0.0081967213113785,2.99999999996453,2,2,"2"
"15259","B.1.1",9,8,6,2020.36885245902,2020.60928961749,0.240437158470058,88.0000000000414,85,85,"20+"
"15260","B.1.1",9,8,7,2020.58196721311,2020.60382513661,0.0218579234972367,7.99999999998863,5,5,"3-5"
"15261","B.1.1",9,8,8,2020.53825136612,2020.53825136612,0,0,2,2,"2"
"15262","B.1.1",9,8,9,2020.28142076503,2020.31693989071,0.0355191256828675,12.9999999999295,3,3,"3-5"
"15263","B.1.1",9,8,10,2020.20765027322,2020.49180327869,0.284153005464532,104.000000000019,14,14,"11-20"
"15264","B.1.1",9,8,11,2020.42896174863,2020.51366120219,0.084699453552048,31.0000000000496,9,9,"6-10"
"15265","B.1.1",9,8,12,2020.3306010929,2020.45628415301,0.125683060109395,46.0000000000387,4,4,"3-5"
"15266","B.1.1",9,8,13,2020.45628415301,2020.59016393443,0.133879781420774,49.0000000000032,6,6,"6-10"
"15267","B.1.1",9,8,14,2020.34426229508,2020.44535519126,0.101092896174805,36.9999999999786,2,2,"2"
"15268","B.1.1",9,8,15,2020.32513661202,2020.45355191257,0.128415300546521,47.0000000000268,6,6,"6-10"
"15269","B.1.1",9,8,16,2020.5,2020.51639344262,0.0163934426229844,6.00000000001228,3,3,"3-5"
"15270","B.1.1",9,9,1,2020.26775956284,2020.60655737705,0.338797814207737,124.000000000032,952,952,"20+"
"15271","B.1.1",9,9,2,2020.35792349727,2020.48087431694,0.122950819672042,44.9999999999673,12,12,"11-20"
"15272","B.1.1",9,9,3,2020.29508196721,2020.43715846995,0.14207650273238,52.0000000000509,3,3,"3-5"
"15273","B.1.1",9,9,4,2020.41256830601,2020.67213114754,0.259562841530169,95.0000000000418,28,28,"20+"
"15274","B.1.1",9,9,5,2020.5,2020.50819672131,0.0081967213113785,2.99999999996453,2,2,"2"
"15275","B.1.1",9,9,6,2020.36885245902,2020.60928961749,0.240437158470058,88.0000000000414,85,85,"20+"
"15276","B.1.1",9,9,7,2020.58196721311,2020.60382513661,0.0218579234972367,7.99999999998863,5,5,"3-5"
"15277","B.1.1",9,9,8,2020.53825136612,2020.53825136612,0,0,2,2,"2"
"15278","B.1.1",9,9,9,2020.28142076503,2020.31693989071,0.0355191256828675,12.9999999999295,3,3,"3-5"
"15279","B.1.1",9,9,10,2020.20765027322,2020.49180327869,0.284153005464532,104.000000000019,14,14,"11-20"
"15280","B.1.1",9,9,11,2020.42896174863,2020.51366120219,0.084699453552048,31.0000000000496,9,9,"6-10"
"15281","B.1.1",9,9,12,2020.3306010929,2020.45628415301,0.125683060109395,46.0000000000387,4,4,"3-5"
"15282","B.1.1",9,9,13,2020.45628415301,2020.59016393443,0.133879781420774,49.0000000000032,6,6,"6-10"
"15283","B.1.1",9,9,14,2020.34426229508,2020.44535519126,0.101092896174805,36.9999999999786,2,2,"2"
"15284","B.1.1",9,9,15,2020.32513661202,2020.45355191257,0.128415300546521,47.0000000000268,6,6,"6-10"
"15285","B.1.1",9,9,16,2020.5,2020.51639344262,0.0163934426229844,6.00000000001228,3,3,"3-5"
"15286","B.1.1",9,10,1,2020.26775956284,2020.60655737705,0.338797814207737,124.000000000032,952,952,"20+"
"15287","B.1.1",9,10,2,2020.35792349727,2020.48087431694,0.122950819672042,44.9999999999673,12,12,"11-20"
"15288","B.1.1",9,10,3,2020.29508196721,2020.43715846995,0.14207650273238,52.0000000000509,3,3,"3-5"
"15289","B.1.1",9,10,4,2020.41256830601,2020.67213114754,0.259562841530169,95.0000000000418,28,28,"20+"
"15290","B.1.1",9,10,5,2020.5,2020.50819672131,0.0081967213113785,2.99999999996453,2,2,"2"
"15291","B.1.1",9,10,6,2020.36885245902,2020.60928961749,0.240437158470058,88.0000000000414,85,85,"20+"
"15292","B.1.1",9,10,7,2020.58196721311,2020.60382513661,0.0218579234972367,7.99999999998863,5,5,"3-5"
"15293","B.1.1",9,10,8,2020.53825136612,2020.53825136612,0,0,2,2,"2"
"15294","B.1.1",9,10,9,2020.28142076503,2020.31693989071,0.0355191256828675,12.9999999999295,3,3,"3-5"
"15295","B.1.1",9,10,10,2020.20765027322,2020.49180327869,0.284153005464532,104.000000000019,14,14,"11-20"
"15296","B.1.1",9,10,11,2020.42896174863,2020.51366120219,0.084699453552048,31.0000000000496,9,9,"6-10"
